,text,misinformation,index
0,"Gostaria de pedir a todos os grupos neste LINK que votarem e escolhem o meu Presidente e participem no maior número de conferências do Norte para o Sul e do Sul para o Sul, independentemente da ideologia dos EUA.",0,2
1,"O Brasil que quero, um Brasil com mais FRANTIstas como este...",0,3
2,Porque o GLOBBY não mostra... BOLSONARO O MEU KINGDOM OF FIRST PRESIDENT.,0,4
3,"É assim. O Chef do restaurante aparece no vídeo, e as pessoas no vídeo falam sobre como é residente, e falam muito de merda sobre tentar fazer com que o exército se comporte como um vilão. Quando chegou ao hospital, foi identificado e preso pelo Primeiro-Ministro.",1,5
4,"Duas das maiores empresas de venda no mundo, a Coca-Cola e a Havana, juntaram-se para a maior campanha educativa para reduzir o crime no país.",0,8
5,"Na Serra Leoa, o Comandante-in-Chief da Banner Vermelha proibiu a propaganda de BOLSONARO nos territórios que ele """" administra. """" Só a LULA e o CIRO podem. Porque eles são aliados do CRIME. Têm dúvidas sobre a escavação? Agora é oficialmente.",1,11
6,"Como podem dizer que a vossa cara não pode ser presidente se ele se lembrar em 27 minutos de que um bom homem fez um cheque, que um bom homem ganha quatro vezes mais do que a Renata, que ele mostrou que um kit gay pode ser usado na escola mas não é mostrado na TV às 22h da noite, que o seu chefe apoiou o exército, e que para fechar com uma chave de ouro ele anunciou o seu apartamento no balão ao solpor sem gastar um centão? kkkkkkkk",1,12
7,"Em Rio de Janeiro, pouco depois da entrevista de Bolsonaro no Jornal Nacional.",0,13
8,"Todos vocês sabem que os Estados Unidos são uma grande nação, até que às vezes discordam sobre as suas posições. Na altura das eleições, pesquisei quantos presidentes americanos eram militares, e fiz uma lista com patentes e nomes. Vejam aqui: Armá: George Washington Eisenhower Ulysses Grant General Andrew Jackson William Henry Harrison Zachary Taylor Rutherford Hayes James Garfield Brigadier General Franklin Pierce Andrew Johnson Chester Arthur Benjamin Harrison Crown Prince Thomas Jefferson James Madison James Monroe James Polk Theodore Roosevelt Harry Truman General William McKinley Millard Fillmore Capitão John Tyler Abraham Lincoln Ronald Reagan Soldier James Buchanan Marine: Capitãs de Fragata Lyndon Johnson Richard Nixon Capitãs de Corvette Gerald Ford Attendente John Kennedy Jimmy Carter George Bush (fevereiro) Guardia Nacional Texas: Chief Attendant George W. Bush (fevereiro) Eu não",0,14
9,"*Renata Fernandes Vasconcellos* *Apress Divulgacao And Promocoes Ltd.* CNPJ: 02.176.454/0001-43 Repertorio: R Timoteo Da Costa, 135, Apt 401 Leblon, Rio de Janeiro, Actividade Comercial: Artes Cannibales, Artes de Exibição e Actividades Suplementárias que anteriormente não foram especificadas Tipo Legal: Simple Society Limited *William Bonemer Jr.* *Tigris Artistic Productions Eireli* CNPJ: 57.186.074/0001-81 R Maranhao, 181, Apt 61 Andar 6 Higienopolis, São Paulo, Actividade Comercial: Actividades Open Television Tipo Legal: *Individual Limited Company (Simple Nature)* Pagar impostos ninguém quer... mentiras de moralistas! Hipócritas!",0,15
