,text,misinformation,index
15598,"DOAÇÃO DE 700 GELADEIRAS Campanha Solidária da MAGAZINE LUIZA em apoio a famílias de todo o Brasil! Como funciona? Nossa equipe entrará em contato com os participantes que conseguirem COMENTAR “MAGA” sem serem interrompidas por outros participantes, portanto para participar basta COMENTAR “MAGA” letra por letra, se conseguir nossa equipe enviará uma mensagem para você de imediato para que possa lhe enviar a premiação. (ABRA A FOTO PARA COMENTAR! Seu comentário só sera válido se não for interrompido) Exemplo de comentário da campanha",1,15598
15136,"Tenho que confessar, Bill Gates realmente é um gênio do mal! É fácil controlar quem gosta de ser submisso. O Gates está finalizando a vacina INO-4800, não líquida, que irá salvar toda humanidade! Uma vacina em formato de selo que vai sobre a pele, pois segundo Gates é menos dolorida e mais eficiente! Cada selo (vacina) terá um código individual por pessoa. Depois de serem todos contaminados, ops…digo, vacinados! Você só conseguirá acessar suas redes sociais, Google, contas da Microsoft entre outras, se você digitar ou escanear o código que está no selo (da vacina). Uma forma eficiente e engenhosa de controlar todos. Ai é onde entra o 5G, a nova tecnologia e suas milhares de antenas espalhadas em todo o mundo, será responsável por lhe monitorar 24 horas por dia, na China já funciona assim! Lá foi um pouquinho pior, pois o governo ditador confiscou todos os aparelhos telefônicos da população. Nunca foi pela saúde, sempre foi pelo controle. RECUSE A INO-4800. RECUSE O 5G. RECUSE A NOVA ORDEM MUNDIAL.Ps.: Esse artigo é uma sugestão de leitores do Boatos.org. Se você quiser sugerir um tema ao Boatos.org, entre em contato com a gente pelo site, Facebook e WhatsApp no telefone (61) 99177-9164. Clique nos links “bit.ly” para acessar nossos perfis:",1,15136
1982,"Galera, bora tomo mundo votar BOLSONARO na pagina do Andrade",1,1982
14477,Olha o que o meteoro q caiu na região de Paranavaí Fez…,1,14477
16,"☝🏻 não sei de quem é esse áudio, também não estou aqui para tentar induzir ninguém no seu voto, até porque é algo muito pessoal, mas, escute o que esse cara fala da nossa situação e avalie sua explicação sobre as possibilidades dessa próxima eleição. Achei muito objetivo e dentro da realidade que vivemos.",1,16
16511,"VAGAS UNIMED – Não exigimos experiência para esses cargos! Vagas Disponíveis: atendente, recepcionista, telefonista, aux. de farmácia, secretário hospitalar, auxiliar de enfermeira, serviços gerais, motorista, segurança e mais Ambos Sexos / Salários de R$1586,35 até R$3098,54 mais benefícios Clique no link abaixo para enviar o currículo e agendar sua entrevista » [site] FALTA POUCO PARA CONCLUIR! TEMOS APENAS MAIS 11 VAGAS DISPONÍVEIS NA SUA REGIÃO! Antes de cadastrar seu currículo e agendar sua entrevista, por favor, INDIQUE para 5 contatos MANUALMENTE nossa seletiva através do Whatsapp. Indique-nos para pelo menos 5 contatos, antes de prosseguir para agendar a entrevista. A convocação dos candidatos para a entrevista serão selecionados por meio dos currículos.",1,16511
4744,"DE OLHO NA MÍDIA.

O FATO: NA NOITE DO DIA 09.10.2018 A EXIBIÇÃO NO TELÃO DA HASHTAG ""ELENÃO"" PROVOCOU VAIA DA MAIORIA DAS 40 MIL PESSOAS PRESENTES NO SHOW DE ROGER WATTERS NO ALLIANZ PARQUE, SÃO PAULO.

SE AS MÁSCARAS DESTAS MÍDIAS JORNALÍSTICAS NÃO CAÍREM, ENTÃO QUE FIQUEM INVISÍVEIS.

BUSQUEI NAS PRIMEIRAS PÁGINAS ALGUM DESTAQUE OU CHAMADA.

RESULTADO:

G1 - NADA.
MSN BRASIL - NADA
IG - NADA
UOL - NADA
ESTADÃO - NADA

O PORTAL UAI (MINAS GERAIS) TROUXE UMA BOA MATÉRIA SOBRE A REPERCUSSÃO DO CASO NAS REDES SOCIAIS, TRANSCREVENDO ALGUMAS MENSAGENS. CITO:

""Você acha que o comunismo é o melhor para nós? Você vive em Cuba, você vive na Venezuela?, Você não sabe do que está falando, você perdeu milhares de fãs"", escreveu um. Eleitores de Bolsonaro estão fazendo uma campanha para que as pessoas que compraram ingressos e pretendem ir ao show na noite desta quarta-feira, 10, saiam de casa com camisas amarelas para mostrar a Roger Waters o apoio que Bolsonaro tem no Brasil.

O YAHOO TAMBÉM DESTACOU O ASSUNTO COM A CHAMADA:
""Com # EleNão e vaias, show de Roger Waters tem repertório matador e clima tenso""

MAS O TERRA... O PORTAL TERRA... DESTACOU APENAS ALGUMA IRRITAÇÃO ENTRE CORINTIANOS E PALMEIRENSES, QUANDO ROGER WATERS USOU A EXPRESSÃO ""FUCK THE PIGS"" (LINK ABAIXO).

VAMOS APRENDENDO: A ÉTICA FUNDAMENTAL DO JORNALISMO SE CONFIGURA NO DEVER DE INFORMAR. PORQUE OBTER A INFORMAÇÃO É UM DIREITO DE CADA UM. YAHOO E PORTAL UAI ESCAPARAM DESTA VEZ, MAS O RESTO... PORCARIA.",1,4744
11894,"Deixa eu te falar: não toma Torsilax pelo amor que você tem a Deus e a sua vida. Eu tenho duas pacientes que estão internada. Uma já está estável porque tinha tomado há pouco tempo e a outra está em coma por conta do Torsilax. O Torsilax está proibido pela farmácia porque ele está tendo umas reações. Ele está paralisando os rins e provocando… acelera o coração. Então, ele tá provocando taquicardia. As pessoas estão infartando. Não toma Torsilax. Por isso que eu perguntei se você tava tomando alguma coisa. Sabe o que que você vai tomar. Você toma o Mioflex, você toma Miosan… Alginac 1000 é o melhor que tem para crise de coluna. Ou Diclofenaco de potássio. Esses você pode tomar sem medo. Eu trabalho na área da saúde, por isso que eu tô te falando…O Torsilax está proibido gente. Então fica para todos vocês não tome Torsilax. O pastor da igreja da minha mãe, aos 42 anos, teve um infarto, ficou na sala vermelha por excesso de Torsilax por conta de dores na coluna. Não tomem Torsilax por favor. Nenhum de vocês.",1,11894
15284,"“Quem diria que iria viver pra ver um remédio com nome de Funkeira ser a cura do Corona. Pois esse dia chegou com Annita (NITAZOXANIDA). Uma coisa é certa, não vai faltar Meme para isso”.",1,15284
14573,"Tempo seco facilita o aparecimento de incêndios na Amazônia, mas as queimadas são provocadas pelos produtores de carne e soja que estão lucrando com a desvalorizada moeda brasileira. São exportadores e querem exportar mais, como? Aumentando a fronteira agrícola e devastando a Amazônia, simples assim. O Brasil merece a Amazônia? Crédito da foto: Aranquém Alcântara. Na foto, o pequeno tamanduá-mirim, que ficou cego, luta para sobreviver em meio às chamasTamanduá cego pelo fogo – Foto Araquem Alcântara Mato Grosso/2019 A foto foi postada no perfil do fotógrafo no Facebook e rapidamente viralizou. Cego e com grande parte do corpo queimado, o frágil mamífero evidencia o sofrimento silencioso a que são submetidas milhões de espécies que têm na Amazônia seu lar ancestral e habitat. Após a repercussão da imagem, Aranquém fez um vídeo explicando como foi o encontro com o animal.",1,14573
12631,"*Lulinha*, matrix de delinquente, *filho* do ex presidente *Lula*, maior *ladrão* da história do Brasil, saindo do hotel em Dubai, com a sua Ferrari, *banhada a ouro*, adquirida às custas do sacrifício do povo brasileiro. Espalhe esse vídeo",1,12631
14118,"É um bebê de 10 meses ou um ser de outro planeta? Criança de 10 meses desenhando assim!? Acho que os chineses não são humanos, são ETs disfarçados pra viver no nosso planeta, rs…",1,14118
14907,"“Nem todos entrarão no céu viu povo !!! Meu Deus é crime falar de Jesus??hein ? Preparai-vós Jesus voltará. Faça um compromisso com Cristo hoje. A Bíblia diz: “Agora é o tempo do favor de Deus, agora é o dia da salvação” (2 Coríntios 6:2). “Nem todo o que me diz: Senhor, Senhor! entrará no reino dos céus, mas aquele que faz a vontade de meu Pai, que está nos céus”.",1,14907
14971,"“Nós estamos aqui, entre Sítio Novo e Montes Altos, no Maranhão. Olha a surpresa nossa. Adivinha quem está tocando fogo na paisagem aqui, ó. Fogo aqui do lado, fogo do outro. Olha aí, ó. Agora, presta atenção, será que é para poder derrubar o governo Bolsonaro? Eu não acredito, eu não duvido de nada. Olha aí, o tamanho desse fogo aí, ó. E é na aldeia dos índios. Agora, saca só quem tá tocando fogo",1,14971
1356,"Essa entrevista é de 2015. IMAGINA só  quanto CUSTOU essa MUDANÇA de OPINIÃO repentina, aliás não só ele, mas todos os BANDIDOS de TOGA.
Vamos espalhar este vídeo, é PROVA real.",1,1356
6928,"dilma pode ser anunciada para o comando da petrobras. das táticas que o bolsonaro usou pra colocar só gente inteligente, o mesmo esta sendo feito, só que dessa vez pra destruir de vez o brasil , achou que não podia piorar dilma rousseff tá cotada pra presidir a petrobras! , não é piada lula escolheu dilma pra presidente da petrobrás",1,6928
4222,"Toda essa historinha, segundo fonte ouvida no gabinete de um deputado PTista, poderia ser mera ficção se a quadrilha não divulgasse um vídeo, que pode ser o início desta armação.",1,4222
11219,"Interessado na delação premiada o ex-senador Renato Machado (PT-SP) entregou a FOLHA um conjunto de 12 gravações envolvendo seus contatos telefônicos com diversas autoridades da república. Ao todo são 5 deputados, 6 senadores e 1 ministro. Dentre as gravações a mais chocante é a que foi realizada no dia 27/05/2015 as 22h37min ao deputado federal Jair Bolsonaro.Na gravação o ex-senador Renato Machado (PT-SP) oferece uma propina no valor de R$ 750.000,00 para que Bolsonaro votasse de acordo com os interesses do governo na CPI da Petrobras. A propina seria paga em dinheiro vivo e entregue em um barco que o deputado usa para nos seus raros momentos de lazer se dedicar ao esporte da pesca. LEIA OS TRECHOS MAIS FORTES DA LIGAÇÃO:RENATO MACHADO: Boa noite Capitão! BOLSONARO: Quem tá falando? RENATO MACHADO: Aqui é o Renato Machado… BOLSONARO: Quem é você? RENATO MACHADO: Sou ex-senador Renato Machado… BOLSONARO: Senador? De onde? De que partido?RENATO MACHADO: Renato Machado, ex-senador de São Paulo pelo PT… BOLSONARO: Pra que um petista está me ligando a esta hora, po*** ?RENATO MACHADO: Capitão, queria marcar pra gente conversar pessoalmente pra eu te apresentar uma proposta do barba… BOLSONARO: Barba de c* é r***  !!! Eu trato com gente que tem nome. Quem trata com gente por apelido é bandido. RENATO MACHADO: Calma Capitão… BOLSONARO:  Calma o cara*** !!! Você me liga uma hora desta pra ficar de papo furado? Vai se f*** !RENATO MACHADO: Não é papo furado não. É que a gente está com uma urgência lá na votação da CPI da Petrobrás e estamos precisando da sua força… BOLSONARO: Então se fud*****. Não tô com vocês. Nunca vou estar… RENATO MACHADO: A gente conseguiu com a Odebrecht um presentinho pro Capitão… BOLSONARO: Enfia o presentinho no seu c* !RENATO MACHADO: Calma Capitão. Separamos R$ 750.000,00 pro senhor. Só pra começar a conversa. Posso pedir pro meu pessoal deixar no seu barco em pacotes discretos. Vão até pensar que são peixes…(risos)BOLSONARO: Se vocês chegarem perto do meu barco eu abro fogo contra vocês. Suas desgraças. Entendeu? Eu abro fogo! Vocês vão rir no inferno suas desgraças! LIGAÇÃO É CANCELADAEsse artigo foi uma sugestão dos leitores Claudemir Todo-Bom e Alexander Porto. Se você quiser sugerir um tema para o Boatos.org, entre em contato com a gente pelo site ou pelo Facebook.",1,11219
11088,"Máquina Caça Níquel do governoSe você pensou que para ser multado era só se policial te visse com o farol desligado, saiba que não.O sistema é automático…",1,11088
6659,Reportagem da invasão pelo MST destruindo tudo e com depoimentos! Deve ser divulgado neste momento em que o PT posa de pacificador e amigo do povo!!!,1,6659
2988,Será q Dr Benjamin está delirando ou irá acontecer mesmo!?🇧🇷🇧🇷🇧🇷😢😢😢,1,2988
16195,"Não tenho certeza se vocês já sabem sobre isso, mas o WhatsApp furtivamente mudou a configuração do grupo para incluir “todos” para que pessoas que você não conhece possam adicioná-lo a um grupo, incluindo chats de apostas duvidosos, agiotas, grupos de fraude financeira Você pode alterar suas configurações: 1. Vá para o WhatsApp: 2. Vá para Configurações 3. Vá para a conta 4. Vá para Privacidade 5. Vá para Grupos 6. Mude de (Todos) para (Meus contatos, pressione （Concluído) Eu verifiquei o meu e estava definido para todos. Por favor, alerte seus amigosPs2: Confira a nossa nova seção “Oportunidades” clicando aqui. Na página, você pode acesso a promoções, descontos e sites que dão brindes.",1,16195
1807,"⚠️⚠️PESSOAL, PEÇO QUE COMPARTILHEM ESSE VIDEO, MILITANTES DO PT ESTÃO AGREDINDO ELEITORES DO BOLSONARO. ⚠️⚠️",1,1807
14858,"*Amizade segundo Fernando Pessoa*_”Meus amigos são todos assim: metade loucura, outra metade santidade. Escolho-os não pela pele, mas pela pupila, que tem que ter brilho questionador e tonalidade inquietante. Escolho meus amigos pela cara lavada e pela alma exposta. Não quero só o ombro ou o colo, quero também sua maior alegria. Amigo que não ri junto, não sabe sofrer junto. Meus amigos são todos assim: metade bobeira, metade seriedade. […] (Fernando Pessoa)",1,14858
